id,sku,name,description,tamanho,cor,modelo,acabamento,tipo
67,PB1234,Brinco Prata Dourada,Brinco em prata com acabamento cuidado. Peça de joalharia elegante.,"","","","",""
69,B1399,Moldura,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Ideal para celebrar bodas de ouro (50 anos).","","",50 Anos,"",""
70,"",Brinco Prata Dourada,Brinco em prata com acabamento cuidado. Peça de ourivesaria elegante.,"","","","",""
133,B2680BLAZ,Moldura Criança Carros,Moldura em bilaminado com design elegante para exposição de fotografias. Peça ideal para oferta a crianças.,"",Azul,"","",""
136,B2682AZ,Mealheiro com Música,"Mealheiro decorativo em bilaminado. Peça funcional e decorativa, ideal para oferta a crianças.","",Azul,"","",""
137,B2683RO,Mealheiro com Música,"Mealheiro decorativo em bilaminado. Peça funcional e decorativa, ideal para oferta a crianças.","",Rosa,"","",""
138,B2684DAZ,Álbum,"Álbum com carro em bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração.","",Azul,"","",""
139,B2686DRO,Álbum,"Álbum com flores em bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração.","",Rosa,"","",""
142,P14/0722,Moldura em Prata Redonda Parafusos,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
143,P16/0136,Moldura em Prata Oval,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","",Oval,"",""
144,P16/0112,Moldura em Prata Oval Ondulada,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","",Oval,"",""
145,P15/0617M,Moldura Prata Retangular,Moldura em prata 925 com design elegante para exposição de fotografias.,"","","","",""
146,P17/0204C,Moldura em Prata Capela Rosinhas Camafeu,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
147,P45/0486C,Moldura em Prata Retangular Criança Bonecos,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium. Peça ideal para oferta a crianças.","","","","",""
148,P02/3000,Porta-Velas com Prata,Vela decorativa em prata com detalhes refinados. Peça decorativa elegante.,"","","","",""
149,P01/0403,Salva em Prata Retangular,"Salva em prata, peça clássica de ourivesaria para servir e decorar a mesa.","","","","",""
150,P5067405LL,Moldura em Prata Retangular,"Moldura decorativa em prata para fotografias, com design cuidado e acabamento premium.","","","","",""
151,P48BL,Conjunto Escova e Espelho em Prata,Conjunto em prata com acabamento coordenado.,"","","","",""
152,P17/3094,Bandeja de Cristal Prata,"Bandeja de Cristal para Aperitivos em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
153,"",Porta-CD em Prata,"Porta-CD em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
154,P496F.196,Caixa de Charutos em Prata,Caixa decorativa em prata com acabamento cuidado.,"","","","",""
155,P507,Cigarreira em Prata,"Cigarreira em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
156,P506,Porta-Charuto em Prata,"Porta-Charuto em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
157,P4007/C,Base para Garrafa em Prata,"Base para Garrafa em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
158,P1673,Base para Garrafa e Copos em Prata,Par de copos comemorativos em prata com detalhes decorativos.,"","","","",""
159,P717,Conjunto de 3 Peças Prata,Conjunto em prata com acabamento coordenado. Dimensões: 17x7 cm.,"","","","",""
160,P03611,Conjunto de 2 Peças Prata,"Conjunto em prata com acabamento coordenado. Dimensões: 21x8,5 cm.","","","","",""
161,P7510,Porta-Canetas com Relógio,"Porta-canetas com acabamento cuidado. Dimensões: 11,5x9 cm. Peça funcional e elegante para secretária.","","","","",""
162,P2091,Agenda de Pele com Prata,"Agenda em prata, peça sofisticada que combina funcionalidade com elegância.","","","","",""
163,P3563,Porta-CD em Prata,"Porta-CD em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
164,P89,Espelho e Pente de Bolso em Prata,"Espelho e Pente de Bolso em Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
165,PAL1894,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
166,PAL1926,Alfinete Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
167,P15/01913,Moldura Prata Conchas,Moldura em prata 925 com design elegante para exposição de fotografias.,"","","","",""
168,PAL2151-1,Alfinete Borboleta Esmalte,"Alfinete decorativo em prata 925, peça de joalharia artesanal com acabamento requintado.","","","","",""
