id,sku,name,description
162,P2091,Agenda de Pele com Prata,"Agenda em prata, peça sofisticada que combina funcionalidade com elegância."
139,B2686DRO,Álbum,"Álbum com flores em bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração."
138,B2684DAZ,Álbum,"Álbum com carro em bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração."
703,A6081/20,Álbum Batismo,"Álbum de fotografias com acabamento PVD, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Ideal para cerimónias de batismo."
704,A6031/20,Álbum Batismo,"Álbum de fotografias com acabamento PVD, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Ideal para cerimónias de batismo."
1126,B16/9037,Álbum Casamento Pele Casamento,Álbum Casamento Pele Comalianças. Dimensões: 23x30 cm. Ideal para celebrações de casamento.
1125,B16/9034,Álbum Casamento Pele Castanha,Álbum Casamento Pele Castanha 25 Anos. Dimensões: 23x30 cm. Ideal para celebrações de casamento.
1127,B16/9027,Álbum Casamento Pele Castanha Com Alianças,Álbum Casamento Pele Castanha Comalianças. Dimensões: 35x35 cm. Ideal para celebrações de casamento.
864,A7031/20,Álbum Comunhão,Álbum Comunhão PVD. Dimensões: 20x25 cm. Ideal para cerimónias de comunhão.
894,B2233ALB,Álbum Comunhão Capa de Linho,Álbum Comunhão Capa de Linho. Dimensões: 29x23 cm. Ideal para cerimónias de comunhão.
897,B2057ALB,Álbum Comunhão Capa de Linho,Álbum Comunhão Capa de Linho. Dimensões: 29x23 cm. Ideal para cerimónias de comunhão.
895,B2135ALBL,Álbum Comunhão Capa de Linho,Álbum Comunhão Capa de Linho. Dimensões: 29x23 cm. Ideal para cerimónias de comunhão.
896,B264/2ALB,Álbum Comunhão Capa de Linho,Álbum Comunhão Capa de Linho. Dimensões: 29x23 cm. Ideal para cerimónias de comunhão.
1208,A273/5B,Álbum Criança,"Álbum fotográfico com acabamento PVD, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Peça ideal para oferta a crianças."
1204,A272/5B,Álbum Criança,"Álbum fotográfico com acabamento PVD, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Peça ideal para oferta a crianças."
1212,A274/5B,Álbum Criança,"Álbum fotográfico com acabamento PVD, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Peça ideal para oferta a crianças."
1394,B40/0086,Álbum Fotos Sapo Azul,"Álbum fotográfico, ideal para guardar memórias especiais. Dimensões: 20x25 cm."
